Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1343284347000	Radiohead	Let Down	The Best Of	9f317135-f788-4511-96e8-d00161b4ad6a	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343284647000	Radiohead	Planet Telex	The Best Of	a180862e-66a1-4405-a83b-31f0916cd278	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343284906000	Radiohead	Exit Music (for a Film)	The Best Of	23c3c36b-9449-4484-9040-6ef2125999aa	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343285173000	Radiohead	The National Anthem	The Best Of	c7492f6e-adf3-4ff5-85dc-33d527dc81d8	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343285521000	Radiohead	Knives Out	The Best Of	18441305-0d00-4f4f-a932-2e3262e8f793	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343285777000	Radiohead	Talk Show Host	The Best Of	59ba44f9-3965-458f-825a-315a92ba32a5	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343286056000	Radiohead	You	The Best Of	507320a5-6ed1-4ff8-a427-a3b0c60f73b0	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343286265000	Radiohead	Anyone Can Play Guitar	The Best Of	6496747a-41f5-4166-a24d-c12aae943871	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1343294603000	Two Door Cinema Club	What You Know	Tourist History [Promo]	cadde50b-8c42-4a16-af00-185fcc3827f4	6f1de078-6684-4792-820d-2ffad64c15ed	
1343294795000	Two Door Cinema Club	Eat That Up, It's Good for You	Tourist History [Promo]	65cdbcdd-8d91-4b60-a9f2-6c52fbc8943b	6f1de078-6684-4792-820d-2ffad64c15ed	
1343295020000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
